l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
128,16,OFF,1,DDR3_2133_8x8,AMPMPrefetcher,32,0.096809
512,8,OFF,1,DDR3_2133_8x8,BOPPrefetcher,32,0.032455
128,4,OFF,2,DDR3_2133_8x8,BOPPrefetcher,32,0.109250
64,16,OFF,2,DDR4_2400_8x8,None,64,0.150058
64,8,OFF,4,DDR4_2400_8x8,SignaturePathPrefetcher,64,0.104947
32,8,OFF,1,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.096181
32,2,OFF,1,DDR4_2400_8x8,TaggedPrefetcher,32,0.150203
64,8,OFF,2,DDR3_2133_8x8,SignaturePathPrefetcher,128,0.110306
64,8,ON,2,DDR4_2400_4x16,AMPMPrefetcher,64,0.059945
64,16,OFF,8,DDR3_2133_8x8,None,64,0.146098
32,4,ON,2,DDR3_2133_8x8,None,64,0.058015
512,16,OFF,1,DDR4_2400_4x16,BOPPrefetcher,32,0.032654
128,2,OFF,4,DDR4_2400_16x4,None,32,0.099621
32,16,OFF,8,DDR4_2400_4x16,BOPPrefetcher,32,0.153906
32,2,OFF,8,DDR3_2133_8x8,TaggedPrefetcher,32,0.147107
32,16,ON,1,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.044440
64,8,ON,8,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.045798
128,1,ON,8,DDR3_2133_8x8,None,128,0.049561
256,4,ON,2,DDR4_2400_16x4,BOPPrefetcher,32,0.032676
32,2,OFF,4,DDR3_2133_8x8,None,64,0.146554
64,16,ON,2,DDR3_1600_8x8,BOPPrefetcher,128,0.057398
32,16,OFF,1,DDR4_2400_16x4,TaggedPrefetcher,64,0.149938
64,8,ON,2,DDR4_2400_16x4,AMPMPrefetcher,64,0.059668
128,8,ON,2,DDR3_1600_8x8,TaggedPrefetcher,128,0.043247
128,2,ON,16,DDR3_1600_8x8,None,128,0.043652
