l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
128,8,OFF,16,DDR4_2400_4x16,None,32,0.108702
32,2,OFF,1,DDR4_2400_4x16,SignaturePathPrefetcher,32,0.110258
64,4,OFF,8,DDR3_1600_8x8,None,32,0.151987
512,1,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,64,0.032282
128,2,OFF,16,DDR3_1600_8x8,None,32,0.097637
128,8,ON,8,DDR3_1600_8x8,TaggedPrefetcher,32,0.048501
128,4,OFF,4,DDR3_1600_8x8,TaggedPrefetcher,32,0.061632
32,4,ON,16,DDR4_2400_8x8,AMPMPrefetcher,64,0.060391
32,8,ON,2,DDR4_2400_4x16,AMPMPrefetcher,64,0.059822
64,4,ON,2,DDR4_2400_8x8,TaggedPrefetcher,64,0.060149
